Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
348372 ,    280.77 K ,    89.6 % ,    96.116 kPa
349379 ,    280.76 K ,    89.6 % ,    96.120 kPa
350386 ,    280.76 K ,    89.7 % ,    96.116 kPa
351392 ,    280.81 K ,    89.7 % ,    96.112 kPa
352399 ,    280.80 K ,    89.7 % ,    96.115 kPa
353405 ,    280.80 K ,    89.7 % ,    96.119 kPa
354412 ,    280.83 K ,    89.8 % ,    96.116 kPa
355418 ,    280.80 K ,    89.8 % ,    96.119 kPa
356424 ,    280.79 K ,    89.8 % ,    96.115 kPa
357431 ,    280.77 K ,    89.9 % ,    96.118 kPa
358437 ,    280.78 K ,    90.0 % ,    96.114 kPa
359444 ,    280.81 K ,    90.1 % ,    96.121 kPa
360451 ,    280.81 K ,    90.2 % ,    96.118 kPa
361457 ,    280.82 K ,    90.2 % ,    96.112 kPa
362464 ,    280.83 K ,    90.3 % ,    96.112 kPa
363469 ,    280.83 K ,    90.3 % ,    96.112 kPa
364476 ,    280.83 K ,    90.4 % ,    96.117 kPa
365483 ,    280.85 K ,    90.5 % ,    96.111 kPa
366489 ,    280.88 K ,    90.5 % ,    96.119 kPa
367496 ,    280.89 K ,    90.5 % ,    96.112 kPa
368502 ,    280.89 K ,    90.5 % ,    96.113 kPa
369509 ,    280.94 K ,    90.7 % ,    96.110 kPa
370514 ,    280.95 K ,    90.7 % ,    96.112 kPa
371521 ,    280.94 K ,    90.8 % ,    96.113 kPa
372528 ,    280.92 K ,    90.9 % ,    96.113 kPa
373534 ,    280.90 K ,    90.8 % ,    96.110 kPa
374541 ,    280.91 K ,    90.9 % ,    96.112 kPa
375547 ,    280.93 K ,    91.0 % ,    96.113 kPa
376554 ,    280.94 K ,    91.0 % ,    96.114 kPa
377560 ,    280.94 K ,    91.1 % ,    96.116 kPa
378566 ,    280.96 K ,    91.1 % ,    96.113 kPa
379573 ,    280.99 K ,    91.1 % ,    96.111 kPa
